sales,employees,age,training,exporter,financing,competition,labor_cost,labor_prod,successful
30700000,53,3.0,0.0,0,0.0,0,320000.0,579245.283018868,0
29000000,22,1.0,0.0,1,0.0,0,33500.0,1318181.8181818181,0
43000000,107,12.0,0.0,0,0.0,1,120000.0,401869.15887850465,0
135000000,270,25.0,0.0,0,0.0,0,711000.0,500000.0,1
6000000,15,5.0,0.0,1,0.0,1,8000.0,400000.0,0
124000000,95,22.0,1.0,0,0.0,1,611000.0,1305263.1578947369,1
8461000,14,3.0,0.0,1,0.0,0,120000.0,604357.1428571428,0
417200000,266,10.0,0.0,0,0.0,0,840000.0,1568421.0526315789,1
46000000,55,35.0,0.0,0,0.0,1,80000.0,836363.6363636364,0
105000000,100,10.0,0.0,0,0.0,0,150000.0,1050000.0,1
7000000,12,20.0,0.0,0,0.0,1,9000.0,583333.3333333334,0
196400000,255,22.0,1.0,0,1.0,0,480000.0,770196.0784313725,1
17164000,80,30.0,0.0,0,0.0,1,90000.0,214550.0,0
295500000,302,12.0,0.0,0,1.0,1,298000.0,978476.821192053,1
47400000,36,1.0,0.0,1,0.0,0,110000.0,1316666.6666666667,0
236000000,280,30.0,0.0,0,0.0,1,1101000.0,842857.1428571428,1
3600000,5,30.0,0.0,0,0.0,1,9000.0,720000.0,0
440000000,300,10.0,0.0,1,0.0,1,411000.0,1466666.6666666667,1
44000000,22,2.0,1.0,1,0.0,1,30000.0,2000000.0,0
121246000,90,11.0,0.0,0,0.0,0,282000.0,1347177.7777777778,1
13000000,13,10.0,0.0,1,0.0,0,26000.0,1000000.0,0
59800000,41,17.0,0.0,0,0.0,1,190000.0,1458536.5853658537,0
6000000,6,11.0,0.0,1,0.0,1,12000.0,1000000.0,0
27000000,17,15.0,0.0,1,0.0,1,48000.0,1588235.294117647,0
75000000,22,5.0,0.0,0,0.0,1,18000.0,3409090.909090909,0
15000000,40,20.0,0.0,1,0.0,0,20000.0,375000.0,0
210500000,120,13.0,0.0,0,0.0,1,620000.0,1754166.6666666667,1
12000000,13,9.0,0.0,1,0.0,1,15000.0,923076.9230769231,0
6980000,8,5.0,0.0,1,0.0,1,24400.0,872500.0,0
130000000,76,5.0,0.0,0,0.0,0,636000.0,1710526.3157894737,1
19000000,21,15.0,0.0,1,0.0,0,7200.0,904761.9047619047,0
4745000,8,5.0,0.0,0,0.0,0,15000.0,593125.0,0
190200000,225,16.0,1.0,0,0.0,0,480000.0,845333.3333333334,1
307600000,264,12.0,0.0,0,1.0,1,1000000.0,1165151.5151515151,1
20000000,15,15.0,0.0,0,0.0,1,10000.0,1333333.3333333333,0
34700000,42,18.0,0.0,0,0.0,0,304400.0,826190.4761904762,0
27000000,24,30.0,0.0,1,0.0,1,80000.0,1125000.0,0
235000000,300,20.0,0.0,0,0.0,1,1211000.0,783333.3333333334,1
7000000,20,10.0,0.0,1,0.0,1,19000.0,350000.0,0
6000000,15,20.0,0.0,1,0.0,0,25000.0,400000.0,0
26000000,19,20.0,0.0,1,0.0,1,25000.0,1368421.0526315789,0
33000000,48,15.0,0.0,0,0.0,0,56000.0,687500.0,0
57000000,32,15.0,0.0,1,1.0,1,31000.0,1781250.0,0
7989600,10,12.0,0.0,0,0.0,1,33600.0,798960.0,0
25000000,42,16.0,1.0,1,1.0,0,4000.0,595238.0952380953,0
93580800,254,15.0,1.0,0,1.0,1,200000.0,368428.3464566929,1
11300000,10,12.0,0.0,1,0.0,0,33600.0,1130000.0,0
80000000,184,6.0,0.0,0,0.0,1,456000.0,434782.60869565216,0
341000000,256,20.0,1.0,0,1.0,1,658000.0,1332031.25,1
75000000,42,13.0,0.0,0,0.0,1,242000.0,1785714.2857142857,0
12570000,10,20.0,0.0,0,0.0,1,34800.0,1257000.0,0
17000000,15,7.0,0.0,1,0.0,0,28000.0,1133333.3333333333,0
493000000,350,14.0,1.0,0,0.0,1,2516000.0,1408571.4285714286,1
130600000,87,8.0,0.0,0,0.0,1,480000.0,1501149.4252873564,1
61000000,63,13.0,0.0,0,0.0,0,91000.0,968253.9682539683,0
438000000,305,20.0,0.0,0,0.0,0,3800000.0,1436065.5737704919,1
55000000,34,5.0,0.0,0,0.0,0,235000.0,1617647.0588235294,0
186000000,234,8.0,0.0,0,1.0,1,899000.0,794871.7948717949,1
266000000,185,7.0,0.0,0,0.0,0,1432000.0,1437837.8378378379,1
230000000,155,15.0,0.0,0,0.0,0,310000.0,1483870.9677419355,1
266550000,265,11.0,0.0,0,0.0,0,600000.0,1005849.0566037736,1
4000000,5,14.0,0.0,1,0.0,0,26000.0,800000.0,0
15600000,15,8.0,0.0,0,0.0,0,36000.0,1040000.0,0
55000000,102,12.0,0.0,0,0.0,1,108000.0,539215.6862745098,0
132000000,142,20.0,0.0,0,0.0,1,311000.0,929577.4647887324,1
117000000,75,8.0,0.0,1,0.0,0,98500.0,1560000.0,1
25000000,25,10.0,0.0,1,0.0,1,110000.0,1000000.0,0
90000000,145,14.0,1.0,0,1.0,1,206000.0,620689.6551724138,1
14000000,10,4.0,1.0,1,0.0,0,131200.0,1400000.0,0
237000000,152,15.0,1.0,0,0.0,1,126500.0,1559210.5263157894,1
52500000,156,10.0,0.0,0,0.0,1,106000.0,336538.46153846156,0
4000000,5,2.0,0.0,1,0.0,0,9000.0,800000.0,0
129887400,92,15.0,1.0,0,1.0,1,300000.0,1411819.5652173914,1
16800000,18,4.0,0.0,1,0.0,0,51600.0,933333.3333333334,0
14200000,34,10.0,0.0,0,0.0,1,40000.0,417647.0588235294,0
41800000,45,13.0,0.0,0,0.0,0,180000.0,928888.8888888889,0
112000000,103,12.0,0.0,0,0.0,0,35200.0,1087378.640776699,1
66000000,105,11.0,0.0,1,0.0,1,511000.0,628571.4285714285,0
414000000,252,6.0,1.0,0,1.0,1,1236520.0,1642857.142857143,1
63500000,132,16.0,0.0,0,0.0,0,109000.0,481060.6060606061,0
19000000,14,15.0,0.0,1,0.0,1,32000.0,1357142.857142857,0
5512800,24,20.0,0.0,0,0.0,1,33600.0,229700.0,0
85000000,56,10.0,0.0,0,0.0,1,200000.0,1517857.142857143,0
25000000,30,20.0,0.0,0,0.0,1,20000.0,833333.3333333334,0
6109000,8,3.0,0.0,1,0.0,1,24000.0,763625.0,0
156600000,152,10.0,1.0,0,0.0,1,196000.0,1030263.1578947369,1
19300000,49,15.0,0.0,0,0.0,0,60000.0,393877.55102040817,0
43000000,102,10.0,0.0,1,0.0,1,90000.0,421568.6274509804,0
16000000,17,9.0,0.0,1,0.0,1,29000.0,941176.4705882353,0
7300000,10,5.0,0.0,1,0.0,0,5000.0,730000.0,0
14000000,22,10.0,0.0,1,0.0,0,40000.0,636363.6363636364,0
182000000,210,30.0,0.0,0,0.0,1,911000.0,866666.6666666666,1
62800000,70,8.0,0.0,0,0.0,0,98000.0,897142.8571428572,0
335000000,260,20.0,0.0,0,0.0,1,2111000.0,1288461.5384615385,1
19000000,15,6.0,0.0,0,1.0,0,6500.0,1266666.6666666667,0
38910800,25,3.0,0.0,0,0.0,1,43200.0,1556432.0,0
35180000,50,13.0,0.0,1,0.0,0,72000.0,703600.0,0
136000000,254,15.0,0.0,0,0.0,0,411000.0,535433.0708661417,1
230000000,205,40.0,0.0,0,0.0,0,1150000.0,1121951.219512195,1
16062300,18,6.0,0.0,1,0.0,1,89256.0,892350.0,0
73000000,154,4.0,0.0,0,0.0,0,444000.0,474025.97402597405,0
900000,5,15.0,0.0,1,0.0,1,4000.0,180000.0,0
322000000,142,16.0,1.0,0,1.0,1,106000.0,2267605.6338028167,1
3000000,5,16.0,0.0,1,0.0,0,18000.0,600000.0,0
20000000,15,15.0,0.0,1,0.0,1,39000.0,1333333.3333333333,0
16000000,25,16.0,0.0,1,0.0,0,52000.0,640000.0,0
75000000,115,25.0,0.0,0,0.0,0,311000.0,652173.9130434783,0
226000000,250,13.0,0.0,1,0.0,1,413000.0,904000.0,1
27252000,32,15.0,0.0,0,0.0,1,132000.0,851625.0,0
23000000,30,4.0,0.0,1,0.0,0,43000.0,766666.6666666666,0
25000000,24,12.0,0.0,1,0.0,1,21000.0,1041666.6666666666,0
78000000,22,15.0,0.0,1,0.0,0,108000.0,3545454.5454545454,0
43000000,46,23.0,0.0,1,0.0,0,70000.0,934782.6086956522,0
124000000,92,21.0,1.0,0,0.0,1,90000.0,1347826.0869565217,1
9800000,18,5.0,1.0,1,0.0,0,12000.0,544444.4444444445,0
183000000,250,20.0,0.0,0,0.0,0,1211000.0,732000.0,1
407520000,286,18.0,1.0,0,1.0,1,2432000.0,1424895.104895105,1
28000000,32,15.0,0.0,1,0.0,0,50000.0,875000.0,0
10000000,9,10.0,1.0,1,0.0,1,14000.0,1111111.111111111,0
380000000,370,15.0,0.0,0,1.0,1,2300000.0,1027027.027027027,1
117000000,103,5.0,0.0,1,0.0,1,78500.0,1135922.3300970874,1
20215000,25,3.0,0.0,1,0.0,0,69600.0,808600.0,0
6000000,12,10.0,0.0,1,0.0,0,19000.0,500000.0,0
56000000,50,2.0,0.0,1,0.0,0,45000.0,1120000.0,0
152000000,213,23.0,0.0,0,1.0,1,126798.0,713615.0234741784,1
35000000,32,30.0,0.0,1,0.0,0,105000.0,1093750.0,0
192200000,256,10.0,0.0,0,0.0,0,819000.0,750781.25,1
3382970,9,5.0,1.0,1,0.0,1,8000.0,375885.55555555556,0
20000000,30,10.0,0.0,1,0.0,1,30000.0,666666.6666666666,0
64457000,70,10.0,0.0,0,0.0,1,31200.0,920814.2857142857,0
69000000,80,13.0,0.0,1,0.0,1,260000.0,862500.0,0
25000000,15,6.0,0.0,1,0.0,1,32000.0,1666666.6666666667,0
17000000,30,5.0,0.0,1,0.0,0,92000.0,566666.6666666666,0
29600000,50,15.0,0.0,0,0.0,0,88000.0,592000.0,0
332000000,335,15.0,1.0,0,1.0,1,1510000.0,991044.776119403,1
38000000,42,10.0,0.0,1,0.0,0,168000.0,904761.9047619047,0
90000000,61,10.0,0.0,0,0.0,0,415000.0,1475409.8360655739,1
55000000,40,5.0,0.0,1,0.0,1,159800.0,1375000.0,0
28000000,10,20.0,0.0,1,0.0,0,25000.0,2800000.0,0
91100000,70,12.0,0.0,1,0.0,1,420000.0,1301428.5714285714,1
9000000,14,40.0,0.0,0,0.0,1,16500.0,642857.1428571428,0
73800000,105,16.0,0.0,0,0.0,1,104000.0,702857.1428571428,0
31000000,54,14.0,0.0,1,0.0,0,108000.0,574074.074074074,0
5000000,6,8.0,0.0,1,0.0,0,12000.0,833333.3333333334,0
17000000,20,6.0,0.0,1,0.0,1,25000.0,850000.0,0
4200000,5,5.0,0.0,1,0.0,1,8000.0,840000.0,0
1636703,8,12.0,0.0,0,0.0,0,31926.0,204587.875,0
145000000,120,16.0,1.0,1,0.0,0,212000.0,1208333.3333333333,1
160100000,160,4.0,0.0,0,0.0,0,1504000.0,1000625.0,1
20451000,40,5.0,0.0,0,0.0,0,25200.0,511275.0,0
44888600,30,5.0,0.0,0,0.0,1,136000.0,1496286.6666666667,0
17000000,16,26.0,1.0,0,0.0,1,15000.0,1062500.0,0
2104800,9,12.0,0.0,0,0.0,0,22800.0,233866.66666666666,0
3000000,5,6.0,1.0,1,0.0,0,15000.0,600000.0,0
46000000,72,5.0,0.0,1,0.0,1,58000.0,638888.8888888889,0
12000000,34,10.0,0.0,1,0.0,1,16000.0,352941.17647058825,0
200000000,305,15.0,0.0,0,0.0,1,200000.0,655737.7049180327,1
5300000,12,4.0,0.0,0,0.0,1,31200.0,441666.6666666667,0
127083400,170,14.0,0.0,0,1.0,0,914000.0,747549.4117647059,1
17249764,95,10.0,0.0,0,0.0,0,29520.0,181576.46315789473,0
27000000,25,10.0,0.0,1,0.0,1,78000.0,1080000.0,0
226000000,185,10.0,1.0,0,1.0,1,620000.0,1221621.6216216215,1
32000000,24,5.0,0.0,1,0.0,1,98000.0,1333333.3333333333,0
270000000,270,13.0,0.0,0,0.0,0,750000.0,1000000.0,1
143000000,40,13.0,0.0,0,0.0,1,115000.0,3575000.0,1
50000000,45,2.0,1.0,1,0.0,0,110000.0,1111111.111111111,0
23000000,26,15.0,0.0,1,0.0,1,38000.0,884615.3846153846,0
33083600,15,18.0,0.0,0,0.0,0,39800.0,2205573.3333333335,0
14373500,10,15.0,0.0,0,0.0,1,13200.0,1437350.0,0
4637542,12,6.0,0.0,1,0.0,0,12952.0,386461.8333333333,0
6589340,34,10.0,0.0,0,0.0,0,11640.0,193804.11764705883,0
44128600,74,12.0,0.0,0,0.0,1,19200.0,596332.4324324324,0
39000000,18,20.0,0.0,0,0.0,1,15000.0,2166666.6666666665,0
21000000,32,5.0,0.0,1,0.0,1,33000.0,656250.0,0
10000000,28,27.0,0.0,0,0.0,0,12000.0,357142.85714285716,0
8000000,12,5.0,1.0,1,0.0,0,38000.0,666666.6666666666,0
133000000,95,18.0,0.0,0,0.0,1,486000.0,1400000.0,1
147236000,210,12.0,0.0,0,0.0,1,148000.0,701123.8095238095,1
2400000,5,3.0,0.0,1,0.0,1,17200.0,480000.0,0
37000000,38,5.0,0.0,1,0.0,0,107500.0,973684.2105263158,0
16000000,24,15.0,0.0,1,0.0,0,32000.0,666666.6666666666,0
20150000,30,5.0,1.0,0,0.0,0,69600.0,671666.6666666666,0
22000000,26,2.0,0.0,1,0.0,0,41000.0,846153.8461538461,0
8000000,10,4.0,1.0,1,0.0,1,20000.0,800000.0,0
25000000,47,3.0,0.0,0,0.0,0,20000.0,531914.8936170213,0
12000000,20,10.0,0.0,1,0.0,0,13200.0,600000.0,0
39000000,42,5.0,0.0,1,0.0,0,16000.0,928571.4285714285,0
7600000,10,4.0,0.0,0,0.0,0,34000.0,760000.0,0
7431829,22,4.0,0.0,0,0.0,0,30000.0,337810.4090909091,0
162000000,150,7.0,0.0,0,0.0,1,156000.0,1080000.0,1
59000000,120,16.0,0.0,0,0.0,0,106000.0,491666.6666666667,0
191700000,202,5.0,0.0,0,0.0,0,5104000.0,949009.9009900991,1
10000000,10,10.0,0.0,1,0.0,1,12000.0,1000000.0,0
26000000,21,15.0,0.0,1,0.0,1,52000.0,1238095.238095238,0
210400000,185,13.0,0.0,0,0.0,0,486400.0,1137297.2972972973,1
30000000,25,6.0,0.0,0,0.0,0,28000.0,1200000.0,0
123400000,65,6.0,0.0,0,0.0,1,1174000.0,1898461.5384615385,1
59431200,80,7.0,0.0,0,1.0,1,25200.0,742890.0,0
177204000,243,10.0,0.0,0,1.0,1,120000.0,729234.5679012346,1
232000000,255,14.0,0.0,1,0.0,1,1012000.0,909803.9215686275,1
3500000,6,11.0,1.0,1,0.0,0,25000.0,583333.3333333334,0
18000000,17,13.0,0.0,1,0.0,1,18000.0,1058823.5294117648,0
400300000,302,15.0,1.0,0,1.0,1,1564000.0,1325496.688741722,1
161500000,140,10.0,0.0,0,0.0,1,660000.0,1153571.4285714286,1
334381000,140,7.0,1.0,0,1.0,1,312000.0,2388435.714285714,1
56000000,60,13.0,0.0,0,0.0,0,109500.0,933333.3333333334,0
10000000,10,5.0,0.0,1,0.0,1,15000.0,1000000.0,0
215000000,118,17.0,1.0,0,0.0,1,311000.0,1822033.8983050848,1
14439360,24,5.0,0.0,0,0.0,0,56000.0,601640.0,0
21000000,10,13.0,0.0,1,0.0,1,8000.0,2100000.0,0
327000000,128,15.0,1.0,0,0.0,1,536000.0,2554687.5,1
6100000,11,3.0,0.0,0,0.0,1,48000.0,554545.4545454546,0
50000000,18,8.0,0.0,1,0.0,0,100000.0,2777777.777777778,0
16000000,25,12.0,1.0,1,0.0,1,19000.0,640000.0,0
120000000,250,16.0,0.0,0,0.0,1,564000.0,480000.0,1
7000000,12,5.0,0.0,1,0.0,1,7000.0,583333.3333333334,0
100000000,39,5.0,0.0,0,0.0,1,20000.0,2564102.564102564,1
67000000,56,5.0,0.0,0,0.0,1,120000.0,1196428.5714285714,0
21000000,35,20.0,1.0,0,0.0,0,7000.0,600000.0,0
64000000,55,21.0,0.0,0,0.0,1,56000.0,1163636.3636363635,0
159000000,150,15.0,0.0,0,1.0,1,360000.0,1060000.0,1
123000000,85,13.0,0.0,0,0.0,0,810000.0,1447058.8235294118,1
13000000,13,18.0,0.0,1,0.0,0,14000.0,1000000.0,0
93000000,263,6.0,0.0,0,0.0,1,796000.0,353612.16730038024,1
9400000,12,5.0,0.0,1,0.0,1,36000.0,783333.3333333334,0
15400000,15,5.0,0.0,1,0.0,1,34000.0,1026666.6666666666,0
73473200,90,8.0,0.0,0,0.0,1,90000.0,816368.8888888889,0
23580918,88,8.0,0.0,1,0.0,0,78648.0,267964.9772727273,0
15000000,21,16.0,0.0,1,0.0,0,53500.0,714285.7142857143,0
25000000,30,9.0,0.0,1,0.0,0,32000.0,833333.3333333334,0
13500000,13,25.0,0.0,1,0.0,1,10000.0,1038461.5384615385,0
195300000,300,14.0,0.0,0,1.0,1,680000.0,651000.0,1
232000000,220,17.0,0.0,0,0.0,0,642000.0,1054545.4545454546,1
53000000,46,5.0,0.0,1,0.0,1,58000.0,1152173.9130434783,0
200000000,140,15.0,0.0,0,0.0,0,112202.0,1428571.4285714286,1
8964000,12,4.0,0.0,1,0.0,0,54000.0,747000.0,0
12000000,15,20.0,0.0,1,0.0,1,15000.0,800000.0,0
640000000,302,20.0,1.0,0,1.0,0,1420000.0,2119205.298013245,1
450000000,320,15.0,0.0,0,1.0,1,103000.0,1406250.0,1
67000000,127,16.0,0.0,0,0.0,0,360000.0,527559.0551181103,0
20000000,18,30.0,0.0,1,0.0,0,56000.0,1111111.111111111,0
231000000,285,17.0,0.0,0,1.0,0,215000.0,810526.3157894737,1
10000000,8,5.0,1.0,1,0.0,1,12000.0,1250000.0,0
13600000,11,4.0,0.0,1,0.0,0,10000.0,1236363.6363636365,0
608624000,258,9.0,1.0,0,1.0,0,1632000.0,2359007.7519379845,1
277000000,158,25.0,0.0,0,1.0,0,685000.0,1753164.5569620254,1
115000000,252,5.0,0.0,0,0.0,0,564000.0,456349.20634920633,1
12000000,13,12.0,0.0,1,0.0,1,9000.0,923076.9230769231,0
230000000,178,13.0,1.0,0,0.0,0,2300000.0,1292134.831460674,1
130000000,120,17.0,1.0,1,0.0,1,175000.0,1083333.3333333333,1
125000000,250,10.0,0.0,0,0.0,0,960000.0,500000.0,1
11000000,15,5.0,0.0,1,0.0,1,17000.0,733333.3333333334,0
5000000,6,8.0,0.0,1,0.0,1,28000.0,833333.3333333334,0
138000000,110,16.0,0.0,1,0.0,1,138000.0,1254545.4545454546,1
56000000,50,15.0,0.0,1,0.0,1,86500.0,1120000.0,0
59000000,82,15.0,0.0,0,0.0,1,182000.0,719512.1951219512,0
23000000,16,12.0,0.0,1,0.0,1,16500.0,1437500.0,0
120000000,87,25.0,1.0,1,0.0,0,56000.0,1379310.3448275863,1
15500000,24,6.0,0.0,1,0.0,0,96800.0,645833.3333333334,0
9800000,16,3.0,1.0,1,0.0,0,28000.0,612500.0,0
5560640,11,20.0,0.0,1,0.0,1,11640.0,505512.7272727273,0
15800000,15,6.0,1.0,1,0.0,0,138400.0,1053333.3333333333,0
28000000,15,5.0,0.0,1,0.0,1,36500.0,1866666.6666666667,0
182700000,188,6.0,0.0,0,0.0,1,480000.0,971808.5106382979,1
19068400,20,20.0,0.0,0,0.0,1,25400.0,953420.0,0
15978400,19,8.0,0.0,0,0.0,1,68000.0,840968.4210526316,0
178500000,172,5.0,0.0,0,0.0,1,1432000.0,1037790.6976744186,1
8139400,53,4.0,0.0,0,0.0,1,22800.0,153573.5849056604,0
120000000,182,16.0,0.0,0,0.0,1,1576000.0,659340.6593406594,1
109000000,78,22.0,0.0,0,1.0,0,30000.0,1397435.8974358975,1
30000000,60,3.0,0.0,1,0.0,0,66200.0,500000.0,0
13000000,17,10.0,0.0,0,0.0,0,10000.0,764705.8823529412,0
41000000,35,12.0,0.0,1,0.0,0,26000.0,1171428.5714285714,0
2949024,10,16.0,0.0,0,0.0,1,54240.0,294902.4,0
136000000,85,12.0,0.0,0,0.0,1,360000.0,1600000.0,1
11000000,12,2.0,0.0,1,0.0,1,25000.0,916666.6666666666,0
52700000,65,14.0,0.0,0,0.0,1,124000.0,810769.2307692308,0
35000000,46,13.0,0.0,1,0.0,1,90000.0,760869.5652173914,0
4000000,6,15.0,0.0,1,0.0,1,9000.0,666666.6666666666,0
3851500,7,10.0,0.0,1,0.0,0,10500.0,550214.2857142857,0
28000000,25,10.0,0.0,1,0.0,1,16000.0,1120000.0,0
10469400,21,2.0,0.0,1,0.0,0,50400.0,498542.85714285716,0
136200000,80,13.0,0.0,0,0.0,0,336000.0,1702500.0,1
7900000,20,1.0,0.0,1,0.0,0,36000.0,395000.0,0
